epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.31520405411720276,10.83065128326416,1e-04,0.2535156309604645,6.469712257385254
1,0.5187578201293945,4.230369567871094,1e-04,0.435546875,3.318554401397705
2,0.5870112776756287,2.6315810680389404,1e-04,0.48750001192092896,2.497534990310669
3,0.6196215748786926,2.1277647018432617,1e-04,0.40546876192092896,2.3791284561157227
4,0.6406870484352112,1.9034773111343384,1e-04,0.46367189288139343,2.161942481994629
5,0.6573811769485474,1.7639983892440796,1e-04,0.47734376788139343,2.045288562774658
6,0.6687875390052795,1.6771761178970337,1e-04,0.46953126788139343,2.0799243450164795
7,0.6749192476272583,1.6208369731903076,1e-04,0.43476563692092896,2.1340107917785645
8,0.6811103224754333,1.5815953016281128,1e-04,0.4847656190395355,1.964840292930603
9,0.6822575330734253,1.5453546047210693,1e-04,0.49921876192092896,1.9651978015899658
10,0.6864113211631775,1.5250990390777588,1e-04,0.49335938692092896,1.9279574155807495
11,0.6862068772315979,1.5051853656768799,1e-04,0.5015625357627869,1.8470128774642944
12,0.6908090114593506,1.4831358194351196,1e-04,0.545703113079071,1.7685823440551758
13,0.6914880871772766,1.474270224571228,1e-04,0.5121093988418579,1.844469428062439
14,0.6955034136772156,1.4569835662841797,1e-04,0.49335938692092896,1.859994888305664
15,0.6953385472297668,1.4437379837036133,1e-04,0.49531251192092896,1.8529690504074097
16,0.6960572600364685,1.4313023090362549,1e-04,0.5484375357627869,1.764786720275879
17,0.6988659501075745,1.4196275472640991,1e-04,0.500781238079071,1.8558053970336914
18,0.6985231041908264,1.4120649099349976,1e-04,0.4964843690395355,1.8031961917877197
19,0.6980417966842651,1.3989061117172241,1e-04,0.48710939288139343,1.8596323728561401
20,0.7014834880828857,1.3900187015533447,1e-04,0.4964843690395355,1.8619877099990845
21,0.7016417384147644,1.3834336996078491,1e-04,0.48906251788139343,1.8451627492904663
22,0.7023142576217651,1.370227336883545,1e-04,0.4273437559604645,1.94094979763031
23,0.7017010450363159,1.3610777854919434,1e-04,0.569140613079071,1.6537946462631226
24,0.7040812373161316,1.356107234954834,1e-04,0.49531251192092896,1.8016189336776733
25,0.704912006855011,1.3521760702133179,1e-04,0.533203125,1.7123559713363647
26,0.7059998512268066,1.3355228900909424,1e-04,0.5078125,1.7972787618637085
27,0.7058877944946289,1.3325765132904053,1e-04,0.4613281190395355,1.8369215726852417
28,0.708149254322052,1.3236773014068604,1e-04,0.5199218988418579,1.726297378540039
29,0.7076679468154907,1.3129653930664062,1e-04,0.5707031488418579,1.6394903659820557
30,0.7080965638160706,1.307685136795044,1e-04,0.49726563692092896,1.7839250564575195
31,0.7069361209869385,1.3052958250045776,1e-04,0.4976562559604645,1.7758588790893555
32,0.7101734280586243,1.2989238500595093,1e-04,0.5289062857627869,1.6831156015396118
33,0.7100877165794373,1.2807555198669434,1e-04,0.46992188692092896,1.7955089807510376
34,0.7097448706626892,1.280439019203186,1e-04,0.5121093988418579,1.7098032236099243
35,0.7114195227622986,1.277909755706787,1e-04,0.513671875,1.6824649572372437
36,0.7105755805969238,1.2719563245773315,1e-04,0.53125,1.6953357458114624
37,0.7316476702690125,1.1458027362823486,5e-05,0.535937488079071,1.5503400564193726
38,0.7343245148658752,1.0964045524597168,5e-05,0.548046886920929,1.49083411693573
39,0.7369354367256165,1.0760486125946045,5e-05,0.5546875,1.492625117301941
40,0.7379969954490662,1.064515471458435,5e-05,0.5191406607627869,1.5587574243545532
11,0.734403669834137,1.0780240297317505,5e-05,0.5386719107627869,1.5014207363128662
12,0.7348124384880066,1.0579981803894043,5e-05,0.5140625238418579,1.5726866722106934
13,0.7358607649803162,1.0479027032852173,5e-05,0.5218750238418579,1.518446445465088
14,0.7363091111183167,1.0347645282745361,5e-05,0.5113281607627869,1.5910491943359375
15,0.737647533416748,1.029037356376648,5e-05,0.5542969107627869,1.4539783000946045
16,0.7365662455558777,1.0261662006378174,5e-05,0.536328136920929,1.4887522459030151
17,0.7380827069282532,1.0229097604751587,5e-05,0.512890636920929,1.5214086771011353
18,0.7394804358482361,1.0187418460845947,5e-05,0.5542969107627869,1.4731847047805786
19,0.7397310137748718,1.015304446220398,5e-05,0.553906261920929,1.4344583749771118
20,0.7415177822113037,1.0085384845733643,5e-05,0.555859386920929,1.4276793003082275
21,0.739777147769928,1.0076533555984497,5e-05,0.5386719107627869,1.4598075151443481
22,0.7399815320968628,1.0079703330993652,5e-05,0.5707031488418579,1.4035252332687378
23,0.7401727437973022,1.0068162679672241,5e-05,0.5796875357627869,1.4120644330978394
24,0.740119993686676,1.0018616914749146,5e-05,0.4867187440395355,1.5915724039077759
25,0.7415441274642944,1.0034250020980835,5e-05,0.560546875,1.4489295482635498
26,0.7416101098060608,1.0007632970809937,5e-05,0.557812511920929,1.4106886386871338
27,0.742170512676239,0.9980069994926453,5e-05,0.5972656607627869,1.400170087814331
28,0.7413991093635559,0.9964145421981812,5e-05,0.547656238079071,1.444503664970398
29,0.7429353594779968,0.9963626861572266,5e-05,0.557812511920929,1.4263384342193604
30,0.7424540519714355,0.9943736791610718,5e-05,0.528515636920929,1.5344289541244507
31,0.7419727444648743,0.9954652786254883,5e-05,0.522265613079071,1.519201636314392
32,0.744985818862915,0.9907147288322449,5e-05,0.5445312857627869,1.5082322359085083
33,0.7440100312232971,0.9916283488273621,5e-05,0.550000011920929,1.4475723505020142
34,0.7416166663169861,0.9922348260879517,5e-05,0.551562488079071,1.466347336769104
35,0.753860354423523,0.9356524348258972,2.5e-05,0.5757812857627869,1.371951937675476
36,0.7585547566413879,0.9085294008255005,2.5e-05,0.576953113079071,1.364094853401184
37,0.7603151798248291,0.8960281014442444,2.5e-05,0.591015636920929,1.3437219858169556
38,0.7613832950592041,0.8875791430473328,2.5e-05,0.5953125357627869,1.3192455768585205
39,0.7613371014595032,0.8794467449188232,2.5e-05,0.581250011920929,1.3294035196304321
40,0.7632887363433838,0.8721458315849304,2.5e-05,0.5882812738418579,1.3356308937072754
41,0.7622865438461304,0.8673049807548523,2.5e-05,0.598828136920929,1.28948175907135
42,0.7632887363433838,0.862975537776947,2.5e-05,0.5601562857627869,1.3653231859207153
43,0.7630975246429443,0.85999596118927,2.5e-05,0.575390636920929,1.32145094871521
44,0.7640931010246277,0.8573182821273804,2.5e-05,0.576953113079071,1.3123818635940552
45,0.7645546197891235,0.8528960347175598,2.5e-05,0.6128906607627869,1.228117823600769
46,0.765392005443573,0.8478378057479858,2.5e-05,0.5972656607627869,1.274111032485962
47,0.7651414275169373,0.8460380434989929,2.5e-05,0.57421875,1.3203409910202026
48,0.7640601396560669,0.8460603952407837,2.5e-05,0.594531238079071,1.2788525819778442
49,0.7663677930831909,0.8423418998718262,2.5e-05,0.589062511920929,1.3077369928359985
50,0.7660974860191345,0.8405779600143433,2.5e-05,0.571484386920929,1.3511332273483276
51,0.7671523690223694,0.8371096253395081,2.5e-05,0.595703125,1.275838851928711
52,0.7662820816040039,0.8378065228462219,2.5e-05,0.5953125357627869,1.3215582370758057
53,0.7749456167221069,0.805801510810852,1.25e-05,0.6136718988418579,1.2409086227416992
54,0.7761521935462952,0.7909433245658875,1.25e-05,0.60546875,1.251873254776001
55,0.7767060399055481,0.7885268330574036,1.25e-05,0.6050781607627869,1.263493299484253
56,0.7791653275489807,0.7761030197143555,1.25e-05,0.6039062738418579,1.2414277791976929
57,0.7789543271064758,0.7746986150741577,1.25e-05,0.5855469107627869,1.2680200338363647
58,0.7794422507286072,0.7685909867286682,1.25e-05,0.595703125,1.255006194114685
59,0.7801872491836548,0.7654303312301636,1.25e-05,0.5960937738418579,1.2834904193878174
60,0.7820993065834045,0.7506793141365051,6.25e-06,0.602734386920929,1.2574267387390137
61,0.7858640551567078,0.7393848896026611,6.25e-06,0.5960937738418579,1.256430983543396
62,0.7854750752449036,0.7355231642723083,6.25e-06,0.607421875,1.2445735931396484
63,0.7863849401473999,0.7336612343788147,6.25e-06,0.614453136920929,1.2195459604263306
64,0.7872486710548401,0.7266663908958435,6.25e-06,0.6089844107627869,1.2393791675567627
65,0.7868662476539612,0.7263783812522888,6.25e-06,0.6109375357627869,1.2318800687789917
66,0.7884684205055237,0.7224304676055908,6.25e-06,0.6058593988418579,1.238295316696167
67,0.7883431315422058,0.7188717126846313,6.25e-06,0.6000000238418579,1.2629339694976807
68,0.788864016532898,0.7156627178192139,6.25e-06,0.614062488079071,1.2275269031524658
69,0.7890551686286926,0.7131043076515198,6.25e-06,0.6214843988418579,1.1806378364562988
70,0.7908155918121338,0.7123188376426697,6.25e-06,0.618359386920929,1.2124147415161133
71,0.7893914580345154,0.7103012204170227,6.25e-06,0.6156250238418579,1.2292194366455078
72,0.7892463803291321,0.7088500261306763,6.25e-06,0.60546875,1.24897301197052
73,0.7909870147705078,0.7041342258453369,6.25e-06,0.586718738079071,1.302738904953003
74,0.7899123430252075,0.7001026272773743,6.25e-06,0.6109375357627869,1.2160652875900269
75,0.7911650538444519,0.6992220878601074,6.25e-06,0.603515625,1.2458322048187256
76,0.7909144759178162,0.7013164758682251,6.25e-06,0.6148437857627869,1.2114901542663574
77,0.7921144962310791,0.6911182999610901,3.125e-06,0.6089844107627869,1.2367371320724487
78,0.7948638796806335,0.6854503154754639,3.125e-06,0.618359386920929,1.2256757020950317
79,0.7960044741630554,0.6818245053291321,3.125e-06,0.619921863079071,1.224554419517517
80,0.7942968606948853,0.6813951134681702,3.125e-06,0.61328125,1.2185802459716797
81,0.7956814169883728,0.6812417507171631,3.125e-06,0.6078125238418579,1.2371543645858765
82,0.7959451675415039,0.6775028705596924,3.125e-06,0.6070312857627869,1.2284992933273315
83,0.795391321182251,0.6744246482849121,3.125e-06,0.606640636920929,1.230591058731079
84,0.795898973941803,0.6708145141601562,1.5625e-06,0.6175781488418579,1.2198847532272339
85,0.7979363203048706,0.6670050621032715,1.5625e-06,0.6128906607627869,1.224365234375
86,0.7971517443656921,0.6684668660163879,1.5625e-06,0.6148437857627869,1.2250137329101562
87,0.7969868779182434,0.6656683683395386,1.5625e-06,0.6109375357627869,1.2219958305358887
88,0.7977517247200012,0.6631463170051575,1.5625e-06,0.615234375,1.2182332277297974
89,0.7979890704154968,0.6638638973236084,1.5625e-06,0.6136718988418579,1.228758454322815
